test, case
10411, 46
11173, 51
12161, 82
13202, 104
14816, 156
16400, 204
19621, 346
21586, 433
22633, 556
25577, 602
27852, 763
31923, 833
36716, 893
40304, 977
46127, 1146
53553, 1261
57990, 1595
66652, 1766
70940, 2022
81167, 2337
85963, 2931
94055, 3150
96985, 3526
98921, 3736
109591, 4212
125851, 4812
136707, 5328
146541, 5766
164740, 6284
178189, 6767
188518, 7134
196618, 7382
210144, 7513
222395, 7755
234998, 7869
248647, 7979
261335, 8086
268212, 8162
274504, 8236
286716, 8320
295647, 8413
307024, 8565
316664, 8652
327509, 8799
331780, 8897
338036, 8961
348582, 9037
357896, 9137
364942, 9241